algorithm,project_env,seed,train_step,status,eval_return,n_repeats
ppo,acrobot_swingup,0,0,completed,0.049013861144582366,3
ppo,acrobot_swingup,0,5000,completed,21.97776410480341,3
ppo,acrobot_swingup,0,10000,completed,1.4386861622333527,3
ppo,acrobot_swingup,0,15000,completed,2.887739133089781,3
ppo,acrobot_swingup,0,19999,completed,19.695360605915386,3
ppo,acrobot_swingup,1,0,completed,1.4522104480614264,3
ppo,acrobot_swingup,1,5000,completed,10.963869309475285,3
ppo,acrobot_swingup,1,10000,completed,1.4873094363469495,3
ppo,acrobot_swingup,1,15000,completed,26.1885393584768,3
ppo,acrobot_swingup,1,19999,completed,4.964566367135073,3
ppo,acrobot_swingup,2,0,completed,0.08309497944625946,3
ppo,acrobot_swingup,2,5000,completed,0.24100431325896732,3
ppo,acrobot_swingup,2,10000,completed,1.2586474306008313,3
ppo,acrobot_swingup,2,15000,completed,2.409236328894925,3
ppo,acrobot_swingup,2,19999,completed,24.871658416464925,3
ppo,acrobot_swingup,3,0,completed,9.080021482892334,3
ppo,acrobot_swingup,3,5000,completed,15.75918451944987,3
ppo,acrobot_swingup,3,10000,completed,23.849340478579204,3
ppo,acrobot_swingup,3,15000,completed,36.06464831034343,3
ppo,acrobot_swingup,3,19999,completed,31.9917893409729,3
ppo,acrobot_swingup,4,0,completed,26.95723815013965,3
ppo,acrobot_swingup,4,5000,completed,13.663336396217346,3
ppo,acrobot_swingup,4,10000,completed,0.8870521758993467,3
ppo,acrobot_swingup,4,15000,completed,6.779332240422566,3
ppo,acrobot_swingup,4,19999,completed,0.8619935885071754,3
ppo,car_racing_continuous,0,1000,completed,-93.05448607766492,3
ppo,car_racing_continuous,0,2000,completed,-92.9640306806342,3
ppo,car_racing_continuous,0,3000,completed,-93.07962591929696,3
ppo,car_racing_continuous,0,4000,completed,-92.7292480995987,3
ppo,car_racing_continuous,0,5000,completed,-93.37696881148435,3
ppo,car_racing_continuous,0,6000,completed,-93.19162250133968,3
ppo,car_racing_continuous,0,7000,completed,-93.48496464116958,3
ppo,car_racing_continuous,0,8000,completed,-93.58155503595952,3
ppo,car_racing_continuous,0,9000,completed,-93.49744343910437,3
ppo,car_racing_continuous,0,10000,completed,-93.27101027096825,3
ppo,car_racing_continuous,1,1000,completed,-93.68052419970068,3
ppo,car_racing_continuous,1,2000,completed,-93.23995970600686,3
ppo,car_racing_continuous,1,3000,completed,-93.12272389995475,3
ppo,car_racing_continuous,1,4000,completed,-93.1132856398324,3
ppo,car_racing_continuous,1,5000,completed,-93.1562698335851,3
ppo,car_racing_continuous,1,6000,completed,-93.17583263240306,3
ppo,car_racing_continuous,1,7000,completed,-88.3845099809377,3
ppo,car_racing_continuous,1,8000,completed,-93.31937658819986,3
ppo,car_racing_continuous,1,9000,completed,-86.99227758115966,3
ppo,car_racing_continuous,1,10000,completed,-86.61887694145692,3
ppo,car_racing_continuous,2,1000,completed,-93.01653028361001,3
ppo,car_racing_continuous,2,2000,completed,-93.1565442143356,3
ppo,car_racing_continuous,2,3000,completed,-92.8566862205296,3
ppo,car_racing_continuous,2,4000,completed,-93.26549204371668,3
ppo,car_racing_continuous,2,5000,completed,-93.58154920411265,3
ppo,car_racing_continuous,2,6000,completed,-93.24503301065211,3
ppo,car_racing_continuous,2,7000,completed,-92.92600513902534,3
ppo,car_racing_continuous,2,8000,completed,-93.13891033517143,3
ppo,car_racing_continuous,2,9000,completed,-92.95528465175782,3
ppo,car_racing_continuous,2,10000,completed,-92.4404627751474,3
ppo,car_racing_continuous,3,1000,completed,-93.24271979664745,3
ppo,car_racing_continuous,3,2000,completed,-93.11408035996152,3
ppo,car_racing_continuous,3,3000,completed,-93.2092398979806,3
ppo,car_racing_continuous,3,4000,completed,-92.7943187628698,3
ppo,car_racing_continuous,3,5000,completed,-93.2516478910473,3
ppo,car_racing_continuous,3,6000,completed,-93.10213093411528,3
ppo,car_racing_continuous,3,7000,completed,-93.15020289654704,3
ppo,car_racing_continuous,3,8000,completed,-93.19346479147681,3
ppo,car_racing_continuous,3,9000,completed,-92.72410797834425,3
ppo,car_racing_continuous,3,10000,completed,-93.63517355404117,3
ppo,car_racing_continuous,4,1000,completed,-92.50717900244003,3
ppo,car_racing_continuous,4,2000,completed,-92.85369648272774,3
ppo,car_racing_continuous,4,3000,completed,-93.70401309493076,3
ppo,car_racing_continuous,4,4000,completed,-92.95892926579711,3
ppo,car_racing_continuous,4,5000,completed,-92.74488921111963,3
ppo,car_racing_continuous,4,6000,completed,-93.00399862758093,3
ppo,car_racing_continuous,4,7000,completed,-93.17604412270835,3
ppo,car_racing_continuous,4,8000,completed,-91.6901167193465,3
ppo,car_racing_continuous,4,9000,completed,-93.67166524091613,3
ppo,car_racing_continuous,4,10000,completed,-92.77025186450601,3
ppo,cartpole_swingup,0,0,completed,15.28688907623291,3
ppo,cartpole_swingup,0,5000,completed,148.55277506510416,3
ppo,cartpole_swingup,0,10000,completed,16.86691697438558,3
ppo,cartpole_swingup,0,15000,completed,139.87029012044272,3
ppo,cartpole_swingup,0,19999,completed,182.78510538736978,3
ppo,cartpole_swingup,1,0,completed,24.696662267049152,3
ppo,cartpole_swingup,1,5000,completed,32.13987032572428,3
ppo,cartpole_swingup,1,10000,completed,33.20900217692057,3
ppo,cartpole_swingup,1,15000,completed,33.358516693115234,3
ppo,cartpole_swingup,1,19999,completed,37.36023457845052,3
ppo,cartpole_swingup,2,0,completed,6.87507438659668,3
ppo,cartpole_swingup,2,5000,completed,19.65033721923828,3
ppo,cartpole_swingup,2,10000,completed,13.572755495707193,3
ppo,cartpole_swingup,2,15000,completed,6.380411783854167,3
ppo,cartpole_swingup,2,19999,completed,24.76723035176595,3
ppo,cartpole_swingup,3,0,completed,48.78025436401367,3
ppo,cartpole_swingup,3,5000,completed,77.83409118652344,3
ppo,cartpole_swingup,3,10000,completed,98.94408671061198,3
ppo,cartpole_swingup,3,15000,completed,91.23313903808594,3
ppo,cartpole_swingup,3,19999,completed,99.92553965250652,3
ppo,cartpole_swingup,4,0,completed,29.402257919311523,3
ppo,cartpole_swingup,4,5000,completed,64.92419942220052,3
ppo,cartpole_swingup,4,10000,completed,52.49709701538086,3
ppo,cartpole_swingup,4,15000,completed,77.87431081136067,3
ppo,cartpole_swingup,4,19999,completed,88.67115529378255,3
sac,acrobot_swingup,0,0,completed,0.07412647917777444,3
sac,acrobot_swingup,0,5000,completed,0.01224917980986596,3
sac,acrobot_swingup,0,10000,completed,0.22945238991330064,3
sac,acrobot_swingup,0,15000,completed,1.5321882048890952e-05,3
sac,acrobot_swingup,0,19999,completed,0.09226348375777298,3
sac,acrobot_swingup,1,0,completed,1.427665111919244,3
sac,acrobot_swingup,1,5000,completed,9.105187728830495,3
sac,acrobot_swingup,1,10000,completed,0.427948971645026,3
sac,acrobot_swingup,1,15000,completed,4.353582615925006,3
sac,acrobot_swingup,1,19999,completed,0.4844073406501212,3
sac,acrobot_swingup,2,0,completed,0.7521231581935871,3
sac,acrobot_swingup,2,5000,completed,0.531804821921078,3
sac,acrobot_swingup,2,10000,completed,4.016092493904731,3
